t020700_0020	Ainoalle pojalle tai veljeksistä vanhimmalle toivova	skvr05113260,skvr05206540,skvr05206560,skvr05207840,skvr05209310,skvr05209400,skvr05209440,skvr05209450,skvr05311500,skvr05305980,skvr05306081,skvr05306080,skvr05309351,skvr05309350,skvr13024640
t020700_0030	Ajaisin juoksevaa hevosta, naisin nauravaa naista	skvr03141870,skvr05210830,skvr05312140,skvr05301290,skvr05306180,skvr06106160,skvr13002720,skvr13006480,skvr13028280,skvr15104540,skvr15104630
t020700_0040	Anna suuta Suomen tyttö	skvr04140800,skvr13027810,skvr13027820,skvr13107790,skvr13107800
t020700_0050	Anto synti, Luoja oman osani	skvr05212080
t020802_0010	Anopilla lyhyet sääret potkia	skvr13023630
t020802_0020	Anopin kylvettäminen	skvr05206500,skvr06106350,skvr13024000,skvr13107280,skvr13107290,skvr13107300
t020802_0030	Anopin orjaksi ei minusta	skvr07125410
t020802_0040	Anopin susilla syötän	skvr03109050,skvr03115380,skvr03115410,skvr03115540,skvr03118420,skvr03120240,skvr03121190,skvr03127620,skvr03128070,skvr03133880,skvr03134520,skvr04110260,skvr04126680,skvr05202810,skvr05206710,skvr05206750,skvr05206860,skvr05207461,skvr05207560,skvr05207740,skvr05305240,skvr07124490,skvr13017370,skvr13017380,skvr13024030,skvr13024050,skvr13038070,skvr13077890,skvr13107340,skvr13107350,skvr13108090
t020802_0050	Anoppi ajoin toruu, käly aina kärnyttää	skvr05206540,skvr05209440,skvr05209450,skvr13024310,skvr13036570,skvr13036590,skvr13036620,skvr13036630,skvr13036650,skvr13036660,skvr13036670,skvr13036690,skvr13106840,skvr13108090
t020802_0060	Anoppi vaatii työntekoa	skvr03107650,skvr04126660,skvr05206550,skvr05207510,skvr13107330
t020802_0070	Appi ei laske tyttöjen pariin	skvr05206450
t020802_0080	Appi karhu kartanolla	skvr02102680,skvr04110790,skvr04130970,skvr05305230,skvr06107180,skvr07112640,skvr07112651,skvr07112650,skvr12109130,skvr13001100,skvr13001370,skvr13014880,skvr13023680,skvr13009720,skvr15112510,skvr15104810,skvr15104860
t020802_0090	Appi kuin oma taatto	skvr05206460
t020802_0100	Appi lukee leivät kiukaasta	skvr05212000,skvr05215650,skvr05306081,skvr05306080,skvr05308370,skvr05309280,skvr13030940,skvr13035510,skvr13036700,skvr13037810
t020903_0010	Ammuin sutta suuta vasten	skvr04134810,skvr05211150,skvr05218690,skvr05206420,skvr13001600,skvr13027780,skvr13027790,skvr13027800
t020903_0020	Ammun aidaksella	skvr05101170,skvr05101410,skvr05101470,skvr05210980,skvr05218690,skvr05222760,skvr05306400,skvr13010320,skvr13003060,skvr13003240,skvr13003390
t020903_0025	Anna viinaa velaksi	skvr13027830
t021000_0010	Ajattelen aikojani, entistä elämätäni	skvr03101440,skvr05211100,skvr05205210,skvr05205770,skvr05206010,skvr05206170,skvr05206430,skvr05207580,skvr05207590,skvr05303911,skvr05303910,skvr05304051,skvr05304050,skvr05304060,skvr13019680,skvr13019700,skvr13019720
t030100_0020	Anna rullan ruikutella	skvr09103110,skvr09103120,skvr09103130,skvr09103140,skvr09103150,skvr09103160,skvr05311030,skvr05311040,skvr05311050,skvr06108220,skvr06108230,skvr08112680,skvr08112730,skvr10103230,skvr10103240,skvr10103250,skvr10103260,skvr11105210,skvr13079200,skvr13079210,skvr13079220,skvr13079230,skvr13079240,skvr13079250,skvr13079260,skvr13079610,skvr13079630,skvr13126090,skvr13126100,skvr13126110,skvr13126120,skvr15102010
t030100_0030	Ansaa tehdessä	skvr13003840,skvr13078820,skvr13125860
t030200_0010	Anna kulkkuni kulaita	skvr07131820
t030200_0020	Anna paimen päivällistä	skvr09133900,skvr09133910,skvr09133920,skvr09133930,skvr09133960,skvr09133970,skvr09133980,skvr09134020,skvr10102880,skvr10102890,skvr10102900,skvr10102910,skvr14102490
t030200_0030	Anna paimenelle voita	skvr14102160
t030300_0010	Aa aa Aatamii	skvr05219360
t030300_0020	Aa aa aholla	skvr06111220,skvr06109520,skvr06109530,skvr06109540,skvr06165700,skvr06165710,skvr06165720,skvr06165730,skvr07133070,skvr07133080,skvr07133090,skvr07133100,skvr07133110,skvr07133120,skvr07133130,skvr07133140,skvr07133150,skvr07133160,skvr07133170,skvr07137620,skvr12104390,skvr13111160,skvr13111170,skvr14102970,skvr14102980,skvr14102990,skvr14103000
