t010100_2360	Nai vanha nuoresta	skvr01120550,skvr01223610
t020700_0990	Neidon linna	skvr01114560,skvr03101240,skvr03101250,skvr03101850,skvr03104260,skvr03106020,skvr03107450,skvr03109130,skvr03116010,skvr03116750,skvr03117680,skvr03120620,skvr03121340,skvr03124940,skvr03130850,skvr03131110,skvr03132330,skvr03132690,skvr03133710,skvr03134900,skvr03136530,skvr03138220,skvr03139160,skvr03139900,skvr04103830,skvr04106680,skvr04107430,skvr04107730,skvr04108640,skvr04109200,skvr04115170,skvr04115870,skvr04116450,skvr04117080,skvr04121800,skvr04122460,skvr04122480,skvr04122490,skvr04127860,skvr04129500,skvr04133980,skvr04134750,skvr04136550,skvr04137560,skvr05112650,skvr05102830,skvr05104860,skvr05212910,skvr05201630,skvr05217210,skvr05220370,skvr05208100,skvr05208110,skvr05208120,skvr05208130,skvr05208140,skvr05208150,skvr05208160,skvr05208170,skvr05208180,skvr05208190,skvr05208200,skvr05208210,skvr05208220,skvr05208230,skvr05208240,skvr05208250,skvr05208260,skvr05208270,skvr05208280,skvr05208290,skvr05208300,skvr05208310,skvr05208320,skvr05305641,skvr05305640,skvr13012960,skvr13016340,skvr13025150,skvr13025160,skvr13025170,skvr13026680,skvr13002700,skvr13003210,skvr13008730,skvr13008740,skvr13008750,skvr13008760,skvr13008770,skvr13008780,skvr13008790,skvr13008800,skvr13008810,skvr13008820,skvr13008830,skvr13008840,skvr13008850,skvr13008860,skvr13008870,skvr13008880,skvr13008890,skvr13008900,skvr13008910,skvr13008920,skvr13008930,skvr13008940,skvr13008950,skvr13008960,skvr13008970,skvr13028530,skvr13040230,skvr13040240,skvr13040250,skvr13047070,skvr13047080,skvr13047090,skvr13047100,skvr13047110,skvr13107450,skvr13107560,skvr15108180
t020700_1000	Neito osaa / ei osaa ommella	skvr03101810,skvr03103630,skvr03103760,skvr03118510,skvr04110980,skvr04100110,skvr04101340,skvr04100150,skvr04102770,skvr04104530,skvr04106300,skvr04115670,skvr04116850,skvr04117540,skvr04129130,skvr04135200,skvr04136420,skvr05111880,skvr05111890,skvr05111910,skvr05111930,skvr05102170,skvr05217380,skvr05222950,skvr05209990,skvr13012690,skvr13014510,skvr13025390,skvr13025780,skvr13026070,skvr13028210,skvr13028220,skvr13028230
t020700_1010	Niin on näitä piikasia, poikasia	skvr06106430,skvr06106600,skvr07125910,skvr07300140,skvr12107950,skvr13031300,skvr13031310
t020700_1020	Niinpä ennen neito lauloi	skvr07124120
t020700_1030	Nukuttaa ja torkuttaa - tullaan kossiin	skvr06106440
t020700_1040	Nuoren miehen mieli tekee	skvr03109140,skvr03120910,skvr03128630,skvr03131340,skvr03137190,skvr05113280,skvr05210990,skvr05217300,skvr05217310,skvr05217360,skvr05217420,skvr05208790,skvr05306860,skvr05309840,skvr06106480,skvr13022321,skvr13022320,skvr13024080,skvr13025780,skvr13026710,skvr13036441,skvr13048880,skvr13048890,skvr15111270
t020700_1050	Nykyisistä neidoista	skvr03115190,skvr04111390,skvr04113050,skvr04102240,skvr04102740,skvr04102750,skvr04102840,skvr04108460,skvr04115340,skvr04116980,skvr04117770,skvr04119300,skvr04124810,skvr04134450,skvr04134870,skvr05210700,skvr05211100,skvr07142290,skvr13029160
t020700_1060	Nyt on pojat tyhjän potrat	skvr03105250,skvr03116200,skvr03120230,skvr03132690,skvr03134690,skvr03135500,skvr04110310,skvr04109280,skvr13025000
t020700_1070	Näin mie nännät neitoselta	skvr03101540,skvr03129150,skvr03137190,skvr06104490,skvr13001930,skvr13029170,skvr13029180,skvr13029190
t020700_1080	Näin piian pitkällään	skvr05211230,skvr05211330,skvr05211370,skvr05222640,skvr06104620,skvr06104630,skvr13018130,skvr13107810,skvr13107820,skvr13107830
