t010100_2360	Nai vanha nuoresta	skvr01120550,skvr01223610
t060500_1490	Niukahdus	skvr01224370,skvr01224380,skvr01224400,skvr01224410,skvr01224420,skvr01207630,skvr01207640,skvr01207650,skvr01207660,skvr01207670,skvr01207680,skvr01207690,skvr01207700,skvr01207710,skvr01207720,skvr01207730,skvr01207740,skvr01207750,skvr01207760,skvr01207770,skvr02113460,skvr02113470,skvr02113480,skvr02106700,skvr02107200,skvr03143070,skvr03143080,skvr03143090,skvr03143100,skvr03143110,skvr03143120,skvr03143130,skvr03143140,skvr03143150,skvr03143160,skvr03143170,skvr03143180,skvr03143190,skvr03143200,skvr03143210,skvr03143220,skvr03143230,skvr03143240,skvr03143250,skvr03143260,skvr03143270,skvr03143280,skvr03143290,skvr03143300,skvr03143310,skvr03143320,skvr03143330,skvr03143340,skvr03143350,skvr03143360,skvr03143370,skvr03143380,skvr03143390,skvr04142470,skvr04142480,skvr04142490,skvr04142500,skvr04142510,skvr04142520,skvr04142530,skvr04142540,skvr04142550,skvr04142560,skvr04142570,skvr04142580,skvr04142590,skvr04142600,skvr04142610,skvr04142620,skvr04142630,skvr04142640,skvr04142650,skvr04142660,skvr04142670,skvr04142680,skvr04142690,skvr04142700,skvr04142710,skvr04142720,skvr04142730,skvr04142740,skvr04142750,skvr04142760,skvr04142770,skvr04142780,skvr04142790,skvr04142800,skvr04142810,skvr04142820,skvr04142830,skvr04145690,skvr04145700,skvr04145710,skvr04147580,skvr04147920,skvr04148060,skvr04148070,skvr09303620,skvr09307220,skvr09307230,skvr09307240,skvr09307250,skvr09307260,skvr09307270,skvr09307280,skvr09307290,skvr09307300,skvr09307310,skvr09307320,skvr09307330,skvr09307340,skvr09307350,skvr09307360,skvr09307370,skvr09307380,skvr09307390,skvr09307400,skvr09307410,skvr09307420,skvr09307430,skvr09307440,skvr09307450,skvr09307460,skvr09307470,skvr09307480,skvr09307490,skvr09307500,skvr09307510,skvr09307520,skvr09307530,skvr09307550,skvr09307560,skvr09307570,skvr09307580,skvr09307590,skvr09307600,skvr09307610,skvr09307620,skvr09307630,skvr09307640,skvr09307650,skvr09307660,skvr09307670,skvr09307680,skvr09307690,skvr09307700,skvr09307710,skvr09307720,skvr09307730,skvr09307740,skvr09307751,skvr09307751,skvr09307750,skvr09307760,skvr09307770,skvr09307780,skvr09307790,skvr09307800,skvr09307810,skvr09307820,skvr09307830,skvr09307840,skvr09407580,skvr09407590,skvr09407600,skvr09407610,skvr09407620,skvr09407630,skvr09407640,skvr09407650,skvr09407660,skvr09407670,skvr09407680,skvr09407690,skvr09407700,skvr09407710,skvr09407720,skvr09407730,skvr09407740,skvr09407750,skvr09407760,skvr09407770,skvr09407780,skvr09407790,skvr09407800,skvr09407810,skvr09407820,skvr09407830,skvr09407840,skvr09407850,skvr09407860,skvr09407870,skvr09407880,skvr05224890,skvr05224900,skvr05224910,skvr05224920,skvr05224930,skvr05224940,skvr05224950,skvr05224960,skvr05224970,skvr05224980,skvr05224990,skvr05312511,skvr05312510,skvr05312520,skvr05312530,skvr06130190,skvr06140570,skvr06145500,skvr06145510,skvr06145520,skvr06145530,skvr06145540,skvr06145550,skvr06145560,skvr06145570,skvr06145580,skvr06145590,skvr06145600,skvr06145610,skvr06145620,skvr06145630,skvr06145640,skvr06145650,skvr06145660,skvr06145670,skvr06145680,skvr06145690,skvr06145700,skvr06145710,skvr06145720,skvr06145730,skvr06145740,skvr06145750,skvr06145760,skvr06145770,skvr06145780,skvr06145790,skvr06145800,skvr06145810,skvr06145820,skvr06145830,skvr06145840,skvr06145850,skvr06145860,skvr06145870,skvr06145880,skvr06145890,skvr06145900,skvr06145910,skvr06145920,skvr06145930,skvr06145940,skvr06145950,skvr06145960,skvr06145970,skvr06145980,skvr06145990,skvr06146010,skvr06146020,skvr06146030,skvr06146040,skvr06146050,skvr06146060,skvr06146070,skvr06146080,skvr06146090,skvr06146100,skvr06146110,skvr06146120,skvr06173520,skvr06173530,skvr06173540,skvr06173551,skvr06173550,skvr06173560,skvr07207780,skvr07208030,skvr07208110,skvr07208290,skvr07208350,skvr07208530,skvr07208820,skvr07208910,skvr07208980,skvr07209070,skvr07225240,skvr07225250,skvr07225260,skvr07225270,skvr07225280,skvr07225290,skvr07225300,skvr07225310,skvr07225320,skvr07225330,skvr07225340,skvr07225350,skvr07225370,skvr07225380,skvr07225390,skvr07225400,skvr07225410,skvr07225440,skvr07225450,skvr07225460,skvr07225470,skvr07225480,skvr07225490,skvr07225500,skvr07225510,skvr07225520,skvr07225530,skvr07225540,skvr07225550,skvr07225560,skvr07225570,skvr07225580,skvr07225590,skvr07225600,skvr07225610,skvr07225620,skvr07225630,skvr07225640,skvr07225650,skvr07225660,skvr07225670,skvr07225680,skvr07225690,skvr07225700,skvr07225710,skvr07225720,skvr07225730,skvr07225740,skvr07225750,skvr07225760,skvr07225770,skvr07225780,skvr07225790,skvr07225800,skvr07225810,skvr07225830,skvr07229920,skvr07229930,skvr07229940,skvr07229950,skvr07229960,skvr07229970,skvr07229980,skvr07229990,skvr07230000,skvr07230010,skvr07230020,skvr07230030,skvr07230050,skvr07301230,skvr07301240,skvr07301250,skvr07301260,skvr07301270,skvr07301280,skvr07301290,skvr07301300,skvr07301310,skvr07301320,skvr07301330,skvr07301340,skvr07301350,skvr07301360,skvr07301370,skvr07301380,skvr07301390,skvr08103320,skvr08103330,skvr08103340,skvr08103350,skvr08103360,skvr08103370,skvr08103380,skvr08103390,skvr08103400,skvr08103410,skvr08103420,skvr08103430,skvr08103440,skvr08103450,skvr08103460,skvr08103470,skvr10136203,skvr10136210,skvr10136220,skvr10136230,skvr10136240,skvr10136250,skvr10136260,skvr10136270,skvr10136280,skvr10136290,skvr10136300,skvr10136310,skvr10136320,skvr10136330,skvr10136340,skvr10136350,skvr10136360,skvr10136370,skvr10136380,skvr10136390,skvr10136400,skvr10136410,skvr10136420,skvr10136430,skvr10136440,skvr10136450,skvr10136460,skvr10136470,skvr10136480,skvr10136490,skvr10136500,skvr10136510,skvr10136520,skvr10136530,skvr10136540,skvr10136550,skvr10136560,skvr10136570,skvr10136580,skvr10136590,skvr10136600,skvr10136610,skvr10136620,skvr10136630,skvr10136640,skvr10136650,skvr10136660,skvr10136670,skvr10136680,skvr10136690,skvr10136700,skvr10136710,skvr10136720,skvr10136730,skvr10136740,skvr10136750,skvr10136760,skvr10136771,skvr10136770,skvr10136780,skvr10136791,skvr10136792,skvr10136790,skvr10138630,skvr10154870,skvr10154880,skvr10154890,skvr10154900,skvr10154910,skvr11114800,skvr11114810,skvr11114820,skvr11114830,skvr11114840,skvr11114850,skvr11114860,skvr11114870,skvr11114880,skvr11114890,skvr11114900,skvr11114910,skvr11114920,skvr11114930,skvr11114940,skvr11114950,skvr11114960,skvr11114970,skvr11114980,skvr11114990,skvr11115000,skvr11115010,skvr11115020,skvr11115030,skvr11115040,skvr11115050,skvr11115060,skvr11115070,skvr11115080,skvr11115090,skvr11115100,skvr11115110,skvr11115120,skvr11115130,skvr11115140,skvr11115150,skvr11115160,skvr11115170,skvr11115180,skvr11115190,skvr11115200,skvr11115210,skvr11115220,skvr11115230,skvr11115240,skvr11115250,skvr11115260,skvr11115270,skvr11115280,skvr11115290,skvr11115300,skvr11115310,skvr11115320,skvr11115330,skvr11115340,skvr11115350,skvr12158880,skvr12158890,skvr12158900,skvr12158910,skvr12158920,skvr12158930,skvr12158940,skvr12158950,skvr12158960,skvr12158970,skvr12158980,skvr12158990,skvr12159000,skvr12159010,skvr12159020,skvr12159030,skvr12159040,skvr12159050,skvr12159060,skvr12159070,skvr12159080,skvr12159090,skvr12159100,skvr12159110,skvr12159120,skvr12159130,skvr12159140,skvr12159150,skvr12159160,skvr12159170,skvr12159180,skvr12159190,skvr12159200,skvr12159210,skvr12159220,skvr12159230,skvr12159240,skvr12159250,skvr12159260,skvr12159270,skvr12159280,skvr12159290,skvr12159300,skvr12159310,skvr12159320,skvr12159330,skvr12159340,skvr12159350,skvr12159360,skvr12159370,skvr12159380,skvr12159390,skvr12159400,skvr12159410,skvr12159420,skvr12159430,skvr12159440,skvr12159450,skvr12159460,skvr12159470,skvr12159480,skvr12159490,skvr12159500,skvr12159510,skvr12159520,skvr12159530,skvr12159540,skvr12159550,skvr12159560,skvr12186510,skvr13085450,skvr13085460,skvr13085470,skvr13085480,skvr13085490,skvr13085500,skvr13085510,skvr13085520,skvr13085530,skvr13085540,skvr13085550,skvr13085560,skvr13085570,skvr13085580,skvr13085590,skvr13085600,skvr13085610,skvr13085620,skvr13085630,skvr13085640,skvr13085650,skvr13085660,skvr13085670,skvr13085680,skvr13085690,skvr13085700,skvr13085710,skvr13085720,skvr13085730,skvr13085740,skvr13085750,skvr13085760,skvr13085770,skvr13085780,skvr13085790,skvr13085800,skvr13085810,skvr13085820,skvr13085830,skvr13085840,skvr13085850,skvr13085860,skvr13085870,skvr13085880,skvr13085890,skvr13085900,skvr13085910,skvr13085920,skvr13085930,skvr13085940,skvr13085950,skvr13085960,skvr13085970,skvr13085980,skvr13085990,skvr13086000,skvr13086010,skvr13086020,skvr13086030,skvr13086040,skvr13086050,skvr13086060,skvr13086070,skvr13127510,skvr13127520,skvr13127530,skvr13127540,skvr13127550,skvr13127560,skvr13127570,skvr13127580,skvr13127590,skvr14121100,skvr14121110,skvr14121120,skvr14121130,skvr14121140,skvr14121150,skvr14121160,skvr14121170,skvr14121180,skvr14121190,skvr14121200,skvr14121210,skvr14121220,skvr14121230,skvr14121240,skvr14121250,skvr15103010,skvr15103020,skvr15103030,skvr15107810,skvr15107820,skvr15107830,skvr15107840,skvr15107850
t060500_1500	Nokkosen polttama	skvr10121440
t060500_1510	Näppylät parannetaan	skvr09304440,skvr09304450,skvr07225840,skvr10136800,skvr10137460,skvr14123930,skvr14124100
t060500_1520	Närästys	skvr04144450,skvr09304460,skvr09304470,skvr09304480,skvr09304490,skvr09304500,skvr09304510,skvr09304520,skvr09304530,skvr09304540,skvr09304550,skvr09304560,skvr09304570,skvr09304580,skvr09304590,skvr09304600,skvr09304610,skvr09304620,skvr09304630,skvr09304640,skvr09304650,skvr09304660,skvr09304670,skvr09304680,skvr09304690,skvr09304700,skvr09304710,skvr09304720,skvr09304730,skvr09304740,skvr09304750,skvr09304760,skvr09304770,skvr09304780,skvr09304790,skvr09404680,skvr06142890,skvr06142900,skvr06142910,skvr06142920,skvr08102390,skvr08102400,skvr08102410,skvr08102420,skvr08102430,skvr08102440,skvr10136810,skvr10136820,skvr10136830,skvr10136840,skvr10136850,skvr11109350,skvr13092790,skvr13129840,skvr14123940,skvr14123950,skvr14123960,skvr14123970,skvr14123980,skvr14123990,skvr14124000,skvr14124010,skvr14124020,skvr14124030
t060500_1530	Näärännäppy	skvr01207780,skvr02113620,skvr02108330,skvr09303260,skvr09303270,skvr09303280,skvr09303290,skvr09303300,skvr09303310,skvr09303320,skvr09303330,skvr09303340,skvr09404690,skvr09404700,skvr09404710,skvr09404720,skvr09404730,skvr09404740,skvr09404750,skvr09404760,skvr09404770,skvr09404780,skvr09404790,skvr09404800,skvr06141920,skvr06141930,skvr06141940,skvr06141950,skvr06141960,skvr06141970,skvr06141980,skvr06141990,skvr06142000,skvr06142010,skvr06142020,skvr06142030,skvr06142040,skvr06142050,skvr06142060,skvr06142070,skvr06142080,skvr06142090,skvr06142100,skvr06173101,skvr06173102,skvr06173103,skvr06173104,skvr06173100,skvr06173111,skvr06173110,skvr07225850,skvr07225860,skvr07225870,skvr07225880,skvr07225890,skvr07225900,skvr08101630,skvr08101640,skvr08101650,skvr08101660,skvr08101670,skvr08101680,skvr08101690,skvr10134770,skvr10134780,skvr10134790,skvr10134800,skvr10134811,skvr10134810,skvr10134820,skvr10134830,skvr10134840,skvr10154760,skvr11109360,skvr11109370,skvr11109380,skvr11109390,skvr11109400,skvr11109410,skvr12159580,skvr12159590,skvr12159600,skvr12159610,skvr12159620,skvr12159630,skvr12159640,skvr12159650,skvr12159660,skvr12159670,skvr12186520,skvr12186530,skvr12186540,skvr12186550,skvr13092530,skvr13130280,skvr14123450,skvr14123460,skvr14123470,skvr14123480,skvr14123490,skvr14123500,skvr14123510,skvr14123520,skvr14123530,skvr14123540,skvr14123550,skvr14123560
t060500_1540	Näärännäpyn nostatus	skvr09317201,skvr09317202,skvr12159570
t060700_0260	Näädän metsästys	skvr01212850
t060800_0170	Nuotalla	skvr01213330,skvr01213340,skvr01213350,skvr01213360,skvr01213370,skvr01213380,skvr01213390,skvr01213401,skvr01213400,skvr01213410,skvr01213430,skvr09411690,skvr09411710,skvr07236740,skvr07237760,skvr07237770,skvr07237780,skvr07237790,skvr07237800,skvr07237820,skvr07237830,skvr10155260,skvr12167040,skvr12167050,skvr12167060,skvr12167070,skvr12167080,skvr12167090,skvr12167100,skvr13096240,skvr13096260,skvr13096280
t060800_0180	Nuotta varataan ja päästetään pilauksesta	skvr01213480,skvr01213490,skvr01213500,skvr01213510,skvr07237750,skvr07237780,skvr12167130,skvr12167140
t060800_0190	Nuottaonnen parantaminen	skvr01213420,skvr01213440,skvr09310310,skvr09411680,skvr09411700,skvr09411720,skvr06151850,skvr06151860,skvr06151870,skvr07237810,skvr12167030,skvr13096250,skvr13096270
t060900_0310	Nauriin kylvö ja menestyminen	skvr01217680,skvr01217690,skvr01217700,skvr01217710,skvr01217720,skvr01217730,skvr01217740,skvr01217750,skvr09414400,skvr06158360,skvr06175782,skvr12175410,skvr12175420,skvr12175430,skvr12175440,skvr12175450
t060900_0320	Naurismaan suojeleminen varkailta	skvr01217760,skvr01217770,skvr01217780,skvr09314670,skvr09314680,skvr09414550,skvr09414560,skvr09414570,skvr09414580,skvr09414590,skvr09416430,skvr06159230,skvr06159240,skvr06159250,skvr06175791,skvr07245090,skvr07245120,skvr07245130,skvr07245140,skvr07245150,skvr07245160,skvr07245170,skvr10148350,skvr10148360,skvr10148370,skvr12178940,skvr12179090,skvr12179100,skvr13131800,skvr13133080
t060900_0330	Naurismaan varaaminen	skvr06158290,skvr07245100,skvr12175460,skvr13131800
t060900_0340	Naurismato	skvr06158450,skvr06158460,skvr06158500,skvr07245110,skvr07245140,skvr12175470,skvr12175480,skvr12175490,skvr12175500,skvr13131790
t061000_1400	Navetan siunaus illalla	skvr12137980,skvr12138140
t061000_1410	Navetta varataan ja päästetään pilauksesta	skvr01219770,skvr02110000,skvr06157210,skvr10141850,skvr10143220,skvr11121650,skvr11122220,skvr11122230
t061000_1420	Nälän tullessa paimenelle ensimmäisenä päivänä	skvr12186940
t061100_0490	Nännien ajetuttua	skvr01215150,skvr06152380,skvr07242340,skvr07242400,skvr07243000,skvr12172640,skvr12172700,skvr12172710,skvr12172730,skvr13097310
t061100_0500	Nari lehmän jalassa	skvr13130880
t061100_0510	Navetan haltia panee lehmän	skvr12172740
t061100_0520	Neula poistetaan eläimestä	skvr06152200,skvr06174784,skvr07242350,skvr07242360,skvr12143720,skvr12173360,skvr12173370,skvr12173380,skvr12173390,skvr12173401,skvr12173400
t061100_0530	Nivotauti	skvr12173100
t061100_0540	Nori	skvr03145920,skvr07242290,skvr07242300,skvr13097320,skvr13097330,skvr13097340,skvr13097350,skvr13130890
t061500_0590	Nahan valmistus	skvr09315770,skvr06162210
t061500_0600	Nainen ei vie onnea	skvr13134230
t061500_0610	Nukkuvaa herätettäessä	skvr06162780,skvr06162790,skvr06162800,skvr06176321,skvr10151440
t061500_0620	Nuohoaminen	skvr13100440
t061500_0630	Nälän ajaminen talosta	skvr06162010
t061600_0510	Naurismadon synty	skvr07245110,skvr12175470,skvr12175480,skvr12175490,skvr12175500
t061600_0520	Niukahduksen historiola	skvr01217000,skvr01217010,skvr01217020,skvr01224920,skvr01207630,skvr01207640,skvr01207650,skvr01207680,skvr01207690,skvr01207700,skvr01207710,skvr01207740,skvr01207750,skvr01207760,skvr02113460,skvr02113470,skvr02113480,skvr02108220,skvr02108690,skvr03126360,skvr03143070,skvr03143080,skvr03143090,skvr03143100,skvr03143110,skvr03143120,skvr03143130,skvr03143140,skvr03143150,skvr03143160,skvr03143170,skvr03143180,skvr03143190,skvr03143200,skvr03143210,skvr03143220,skvr03143230,skvr03143240,skvr03143250,skvr03143260,skvr03143270,skvr03143280,skvr03143290,skvr03143300,skvr03143320,skvr03143330,skvr03143340,skvr03143350,skvr03143370,skvr03143380,skvr03143390,skvr04142470,skvr04142480,skvr04142490,skvr04142500,skvr04142510,skvr04142520,skvr04142530,skvr04142540,skvr04142550,skvr04142560,skvr04142570,skvr04142580,skvr04142590,skvr04142600,skvr04142610,skvr04142620,skvr04142630,skvr04142640,skvr04142650,skvr04142660,skvr04142670,skvr04142680,skvr04142690,skvr04142700,skvr04142710,skvr04142720,skvr04142730,skvr04142740,skvr04142750,skvr04142760,skvr04142770,skvr04142780,skvr04142790,skvr04142800,skvr04142810,skvr04142820,skvr04142830,skvr04145690,skvr04145700,skvr04145710,skvr09312780,skvr09312790,skvr09312800,skvr09312810,skvr09303620,skvr09307220,skvr09307230,skvr09307240,skvr09307250,skvr09307260,skvr09307270,skvr09307280,skvr09307290,skvr09307300,skvr09307310,skvr09307320,skvr09307330,skvr09307340,skvr09307350,skvr09307360,skvr09307370,skvr09307380,skvr09307390,skvr09307400,skvr09307410,skvr09307430,skvr09307440,skvr09307450,skvr09307460,skvr09307470,skvr09307480,skvr09307490,skvr09307500,skvr09307510,skvr09307520,skvr09307530,skvr09307550,skvr09307560,skvr09307570,skvr09307580,skvr09307590,skvr09307600,skvr09307610,skvr09307640,skvr09307650,skvr09307670,skvr09307680,skvr09307690,skvr09307710,skvr09307730,skvr09307740,skvr09307770,skvr09307780,skvr09307790,skvr09307800,skvr09307810,skvr09307820,skvr09307830,skvr09307840,skvr09308720,skvr09309140,skvr09309170,skvr09309200,skvr09407580,skvr09407590,skvr09407600,skvr09407630,skvr09407660,skvr09407670,skvr09407680,skvr09407690,skvr09407700,skvr09407710,skvr09407720,skvr09407730,skvr09407740,skvr09407750,skvr09407760,skvr09407770,skvr09407780,skvr09407790,skvr09407800,skvr09407810,skvr09407820,skvr09407830,skvr09407840,skvr09407850,skvr09407860,skvr09407870,skvr09407880,skvr05224890,skvr05224900,skvr05224910,skvr05224920,skvr05224930,skvr05224940,skvr05224950,skvr05224960,skvr05224970,skvr05224980,skvr05224990,skvr05226680,skvr05312520,skvr05312530,skvr06130190,skvr06135530,skvr06145510,skvr06145540,skvr06145560,skvr06145570,skvr06145580,skvr06145590,skvr06145600,skvr06145610,skvr06145620,skvr06145630,skvr06145640,skvr06145660,skvr06145670,skvr06145700,skvr06145740,skvr06145770,skvr06145780,skvr06145790,skvr06145800,skvr06145810,skvr06145820,skvr06145840,skvr06145860,skvr06145870,skvr06145880,skvr06145890,skvr06145900,skvr06145910,skvr06145920,skvr06145970,skvr06145990,skvr06146010,skvr06146030,skvr06146040,skvr06146060,skvr06146070,skvr06146100,skvr06146110,skvr06152160,skvr06152170,skvr06152180,skvr06173540,skvr07209070,skvr07225240,skvr07225250,skvr07225260,skvr07225270,skvr07225290,skvr07225300,skvr07225310,skvr07225320,skvr07225330,skvr07225340,skvr07225360,skvr07225380,skvr07225390,skvr07225400,skvr07225410,skvr07225420,skvr07225430,skvr07225440,skvr07225450,skvr07225460,skvr07225470,skvr07225480,skvr07225490,skvr07225500,skvr07225510,skvr07225520,skvr07225530,skvr07225540,skvr07225560,skvr07225570,skvr07225580,skvr07225590,skvr07225610,skvr07225650,skvr07225660,skvr07225670,skvr07225680,skvr07225700,skvr07225710,skvr07225720,skvr07225730,skvr07225750,skvr07225760,skvr07225780,skvr07225790,skvr07225800,skvr07225810,skvr07225830,skvr07243600,skvr07301230,skvr07301240,skvr07301250,skvr07301260,skvr07301270,skvr07301280,skvr07301290,skvr07301300,skvr07301320,skvr07301330,skvr07301340,skvr07301350,skvr07301360,skvr07301370,skvr07301380,skvr07301390,skvr07303130,skvr08103320,skvr08103330,skvr08103340,skvr08103350,skvr08103360,skvr08103370,skvr08103380,skvr08103390,skvr08103400,skvr08103410,skvr08103430,skvr08103440,skvr08103450,skvr10136203,skvr10136210,skvr10136220,skvr10136240,skvr10136250,skvr10136280,skvr10136310,skvr10136320,skvr10136330,skvr10136340,skvr10136350,skvr10136370,skvr10136380,skvr10136390,skvr10136400,skvr10136410,skvr10136420,skvr10136430,skvr10136440,skvr10136450,skvr10136460,skvr10136470,skvr10136490,skvr10136500,skvr10136510,skvr10136520,skvr10136530,skvr10136540,skvr10136550,skvr10136560,skvr10136570,skvr10136600,skvr10136610,skvr10136620,skvr10136630,skvr10136650,skvr10136660,skvr10136670,skvr10136680,skvr10136690,skvr10136700,skvr10136710,skvr10136720,skvr10136730,skvr10136740,skvr10136760,skvr10136770,skvr10136780,skvr10136791,skvr10136790,skvr10138630,skvr10154870,skvr10154880,skvr10154890,skvr10154900,skvr10154910,skvr11114800,skvr11114820,skvr11114830,skvr11114840,skvr11114850,skvr11114870,skvr11114880,skvr11114890,skvr11114900,skvr11114910,skvr11114920,skvr11114930,skvr11114940,skvr11114960,skvr11114970,skvr11114980,skvr11114990,skvr11115000,skvr11115010,skvr11115030,skvr11115040,skvr11115050,skvr11115060,skvr11115080,skvr11115090,skvr11115100,skvr11115110,skvr11115120,skvr11115130,skvr11115140,skvr11115150,skvr11115160,skvr11115170,skvr11115200,skvr11115210,skvr11115220,skvr11115230,skvr11115260,skvr11115270,skvr11115280,skvr11115290,skvr11115320,skvr11115330,skvr11115340,skvr11115350,skvr12158880,skvr12158890,skvr12158900,skvr12158910,skvr12158920,skvr12158930,skvr12158940,skvr12158950,skvr12158960,skvr12158980,skvr12158990,skvr12159010,skvr12159030,skvr12159040,skvr12159050,skvr12159060,skvr12159070,skvr12159080,skvr12159090,skvr12159100,skvr12159130,skvr12159140,skvr12159150,skvr12159160,skvr12159170,skvr12159180,skvr12159200,skvr12159210,skvr12159230,skvr12159250,skvr12159260,skvr12159270,skvr12159280,skvr12159290,skvr12159300,skvr12159310,skvr12159370,skvr12159380,skvr12159390,skvr12159400,skvr12159410,skvr12159420,skvr12159430,skvr12159440,skvr12159450,skvr12159470,skvr12159480,skvr12159490,skvr12159500,skvr12159540,skvr12159560,skvr12174150,skvr12174160,skvr13085450,skvr13085470,skvr13085480,skvr13085490,skvr13085500,skvr13085510,skvr13085530,skvr13085540,skvr13085550,skvr13085560,skvr13085580,skvr13085590,skvr13085600,skvr13085610,skvr13085620,skvr13085640,skvr13085650,skvr13085670,skvr13085680,skvr13085700,skvr13085720,skvr13085730,skvr13085760,skvr13085780,skvr13085790,skvr13085800,skvr13085810,skvr13085830,skvr13085860,skvr13085880,skvr13085890,skvr13085910,skvr13085920,skvr13085930,skvr13085950,skvr13085960,skvr13085970,skvr13085980,skvr13086000,skvr13086020,skvr13086030,skvr13086050,skvr13086060,skvr13086070,skvr13091190,skvr13127510,skvr13127530,skvr13127540,skvr13127550,skvr13127580,skvr13127590,skvr14121120,skvr14121130,skvr14121160,skvr14121190,skvr14121220,skvr14121230,skvr14121240,skvr15103010,skvr15103020,skvr15103030,skvr15107810,skvr15107820,skvr15107830,skvr15107840,skvr15107850
t061600_0530	Noidan synty	skvr01205160,skvr07227280,skvr12149690
t061600_0540	Noidannuolten synty	skvr07200900,skvr11105290,skvr12145070,skvr12145080
t061600_0550	Nuotan synty	skvr01202480,skvr01202860,skvr01203010,skvr02106972,skvr02107020,skvr07207520,skvr12167090,skvr12185100
t061800_0100	Nuotio	skvr12184460,skvr12184470,skvr13110220,skvr13110230,skvr13110240,skvr13110250
t061900_0050	Nouse neitonen norosta	skvr07231360
t061900_0060	Nousepa mies merestä	skvr07226660
t070100_2340	Nainen hauta, nainen haaska	skvr15104640
t070100_2350	Nainen naista soimatkoon	skvr15100350
t070100_2360	Neito neljän lapsen, vasta vaimo viidenneltä	skvr13083530
t070100_2370	Niin on kun jäniksen jäljet	skvr13083550
t070100_2380	Niin on niitty, kuin on niittäjätkin	skvr06127660,skvr06127670
t070100_2390	Niinivyö vyöntekijällä, rajakengät suutarilla	skvr15100360
t070100_2400	Nuo on kolme koville luotu	skvr15105480
t070100_2410	Nuottamies ryöväri, onkimies on oikea mies	skvr13083570
t070100_2420	Nälkä tuli närhille, otranpäitä oottaessa	skvr07145620
t070300_0840	Nännä-Marketta	skvr13108340
t070400_0580	Nii nii nippakenkä	skvr13067290
t070400_0590	Nuorikolle: Mari lapsein, piri piikain, tule kotiin 	skvr13067370
t070500_0380	Nauris sanoo kylvettäessä	skvr13079960
t080100_1070	Narriksi tälle maalle	skvr13083520
t080100_1080	Neitonen norosta nousi	skvr05302330
t080100_1090	Nenäkästä kiitän neittä	skvr07145590
t080100_1100	Nenäni söisin ennenkuin sanani	skvr13083540
t080100_1110	Neuvon neitonen pitävi	skvr01120850
t080100_1120	Niin on, noin on niityn aita	skvr05219310,skvr06127660,skvr06127670,skvr13029130,skvr13029140
t080100_1130	Noitapa Katti muistellaan	skvr07145610
t080100_1140	Nyt tulee turkin valta, viitan vallan jälkeen	skvr13083580
t080100_1150	Näin ennen lintu lauloi	skvr13080880
t080100_1160	Näin meill on ikä eletty	skvr05311420,skvr13027230,skvr13047410
t080100_1170	Näin unta unissani	skvr10113280
t080100_1180	Nälkä-Taipale, kurja kylä näkyy	skvr13033580
