t010100_0210	Eeva, vaimo ensimmäinen	skvr12102030
t020100_0320	Enemmän minulla sanoja* 	skvr09200270,skvr05311710,skvr12103310,skvr13018320
t020100_0330	Ennen metsä puita puuttuu	skvr01106831,skvr01112780,skvr01113290,skvr01114150,skvr04105760,skvr04116710,skvr04131660,skvr05104890,skvr05212710,skvr05201570,skvr05201610,skvr05202880,skvr05310330,skvr05302960,skvr05302980,skvr05302991,skvr05302990,skvr05303000,skvr05303010,skvr05303020,skvr05303030,skvr05303720,skvr06105040,skvr07115310,skvr07115330,skvr07115340,skvr07144990,skvr12103310,skvr12180030,skvr13010780,skvr13010910,skvr13010960,skvr13016310,skvr13018270,skvr13018290,skvr13018300,skvr13018310,skvr13018320,skvr13018330,skvr13018340,skvr13018350,skvr13018360,skvr13018370,skvr13005380,skvr13106040
t020201_0030	Ei muut muretta tunne	skvr07117800,skvr07117810,skvr07117820,skvr07117880,skvr07119110,skvr07119120
t020201_0040	Ei ole sitä hevosta	skvr01113591,skvr01113590,skvr01113600,skvr01114231,skvr01114232,skvr01114230,skvr03110280,skvr03108220,skvr03108340,skvr03108430,skvr03108530,skvr03118070,skvr03126550,skvr03127480,skvr03129120,skvr05205100,skvr05205340,skvr05205370,skvr05205380,skvr05205390,skvr05205470,skvr05205520,skvr05206120,skvr06106150,skvr06106390,skvr07117460,skvr07117750,skvr07117830,skvr07117840,skvr07117850,skvr07117860,skvr07117870,skvr07117880,skvr07117900,skvr07118430,skvr07119060,skvr07120120,skvr07120210,skvr07120930,skvr07121260,skvr07121310,skvr07121630,skvr07127160,skvr12148860,skvr13018940,skvr13019330,skvr13019340,skvr13019450,skvr13019610,skvr13019780,skvr13106260,skvr15109530
t020201_0050	Ei päiväni parane, itken tai laulan	skvr03101080,skvr03108660,skvr03114610,skvr03128100,skvr03128990,skvr04110400,skvr04113880,skvr04121440
t020201_0060	Ei sula syän suruinen	skvr01113610,skvr03101080,skvr03111620,skvr03105040,skvr03105380,skvr03108260,skvr03114470,skvr03114490,skvr03114570,skvr03114580,skvr03114630,skvr03115840,skvr03128990,skvr03132080,skvr03132480,skvr03132640,skvr03138600,skvr03142370,skvr04109000,skvr04109420,skvr04109640,skvr04116050,skvr04126380,skvr04128270,skvr04129580,skvr04129910,skvr04130600,skvr04133340,skvr04135590,skvr04135600,skvr04135840,skvr04138670,skvr04139740,skvr05201240,skvr05212710,skvr05222970,skvr05204870,skvr05204880,skvr05204890,skvr05204900,skvr05204910,skvr05206050,skvr05206120,skvr05206180,skvr05303840,skvr05303850,skvr05303860,skvr07115680,skvr07118080,skvr07118090,skvr07118100,skvr07118110,skvr07118121,skvr07118120,skvr07120270,skvr07144110,skvr13019410,skvr13019420,skvr13019430,skvr13019440,skvr13019450,skvr13019460,skvr13019470,skvr13019480,skvr13019490,skvr13019500,skvr13019850,skvr13045760,skvr13106180,skvr13106190,skvr13106200,skvr13106210,skvr13106220,skvr13106230,skvr13106250,skvr13106260,skvr13106520,skvr15111930,skvr15112100,skvr15113370,skvr15104370,skvr15109530
t020201_0070	Ei tule uni usein huolellisen huonehesen	skvr01113650,skvr01206910,skvr05303930,skvr05305471,skvr05305470,skvr13019520,skvr13019530,skvr13037340,skvr13054890,skvr13058640,skvr13058850,skvr13114190,skvr13116090,skvr13116100
t020201_0080	Eipä tiedä yksikänä	skvr03111620,skvr03105800,skvr03100050,skvr03108240,skvr03108350,skvr03108430,skvr03113930,skvr03114470,skvr03114480,skvr03114490,skvr03114570,skvr03114580,skvr03114630,skvr03114980,skvr03118070,skvr03128990,skvr03132480,skvr03137340,skvr03138700,skvr03138940,skvr04110460,skvr04110780,skvr04110830,skvr04113060,skvr04121400,skvr04121720,skvr04130600,skvr05211100,skvr05211990,skvr05223030,skvr05224240,skvr05202770,skvr05202830,skvr05204990,skvr05205740,skvr05205970,skvr05206020,skvr05206170,skvr05206280,skvr05206390,skvr05209520,skvr05303901,skvr05303900,skvr05303911,skvr05303910,skvr05303920,skvr06106220,skvr07117290,skvr07117310,skvr07117340,skvr07117360,skvr07117880,skvr07119100,skvr07119120,skvr07119130,skvr07119350,skvr07120150,skvr07120160,skvr13019510,skvr13025560,skvr13003200,skvr13106270,skvr15111930,skvr15112100,skvr15112570,skvr15113370,skvr15109530
t020201_0090	En minä sinä ikinä	skvr07117400,skvr07118510,skvr07118530,skvr07118550,skvr07122020,skvr07122080,skvr07122100
t020201_0100	En ole musta luonnon musta - huolista	skvr03108870,skvr03114880,skvr03114920,skvr03115440,skvr04101050,skvr04102730,skvr04106600,skvr04107600,skvr04108070,skvr04109090,skvr04109440,skvr04109660,skvr04115760,skvr04115830,skvr04116740,skvr04121480,skvr04121490,skvr04121840,skvr04123680,skvr04125550,skvr04127730,skvr04128390,skvr04129750,skvr04133020,skvr04133880,skvr04135420,skvr04136160,skvr04136430,skvr04136770,skvr04136810,skvr04138640,skvr04139530,skvr05204610,skvr05204930,skvr05204960,skvr05204970,skvr05204980,skvr05204990,skvr05205000,skvr05205010,skvr05205020,skvr05205030,skvr05205100,skvr05205290,skvr05205320,skvr05205560,skvr05205960,skvr05206400,skvr05206420,skvr05206430,skvr05207580,skvr05303890,skvr05303930,skvr05303950,skvr05304040,skvr05304131,skvr05304130,skvr06105770,skvr07117520,skvr07117860,skvr07117891,skvr07117890,skvr07117900,skvr07117990,skvr07118300,skvr07118830,skvr07119060,skvr07119070,skvr07119120,skvr07119310,skvr07120140,skvr07120930,skvr07120980,skvr07121160,skvr07121260,skvr07121630,skvr07121640,skvr07121790,skvr07122600,skvr07138030,skvr12181680,skvr13019160,skvr13019450,skvr13019550,skvr13019590,skvr13019600,skvr13019610,skvr13019620,skvr13019760,skvr13019780,skvr13019790,skvr13020010,skvr13020020,skvr13020080,skvr13020090,skvr13020150,skvr13020360,skvr13020860,skvr13023920,skvr13003200,skvr13000420,skvr13007080,skvr13046640,skvr13080970,skvr13081020,skvr13081960,skvr13106170,skvr13106280,skvr13106290,skvr13108110,skvr15101150,skvr15113420
t020201_0110	Enemmän minulla huolta	skvr01113600,skvr01113650,skvr03110280,skvr03108340,skvr03108430,skvr03127480,skvr04107150,skvr04116050,skvr04121430,skvr04131690,skvr05204920,skvr05204930,skvr05204940,skvr05204950,skvr05200520,skvr05205380,skvr05205430,skvr05200580,skvr05206120,skvr05206880,skvr05303940,skvr05304040,skvr05304131,skvr05304130,skvr05304140,skvr05304150,skvr06121220,skvr06105770,skvr06105900,skvr06106150,skvr06106390,skvr06106520,skvr06106740,skvr07117470,skvr07117510,skvr07117530,skvr07117870,skvr07117880,skvr07118400,skvr07118420,skvr07118430,skvr07118440,skvr07118450,skvr07118460,skvr07118470,skvr07118480,skvr07118630,skvr07118740,skvr07118850,skvr07119060,skvr07119120,skvr07119460,skvr07120030,skvr07120210,skvr07121320,skvr07122700,skvr07127160,skvr07142600,skvr12109130,skvr13019340,skvr13019540,skvr13019550,skvr13019560,skvr13019570,skvr13019580,skvr13019760,skvr13029150,skvr13029870,skvr13029890
t020202_0020	Ei itke iso minua	skvr01101710,skvr04113290,skvr04102360,skvr04108280,skvr04108550,skvr04109060,skvr04116270,skvr04117730,skvr04117820,skvr04127330,skvr04133990,skvr04138300,skvr05211230,skvr05212100,skvr05212110,skvr05212120,skvr05223030,skvr05223050,skvr05205170,skvr05205270,skvr05205820,skvr05200050,skvr05209290,skvr05304010,skvr05304021,skvr05304020,skvr05306951,skvr05306950,skvr06106400,skvr06106410,skvr06106510,skvr06106780,skvr06106810,skvr06109470,skvr06109480,skvr07117590,skvr07117700,skvr07117710,skvr07117720,skvr07117730,skvr07117740,skvr07117750,skvr07117760,skvr07117771,skvr07117770,skvr07117780,skvr07117790,skvr07118950,skvr07119060,skvr07119300,skvr07119640,skvr07122530,skvr07126950,skvr07127630,skvr07129070,skvr07129080,skvr12103590,skvr12145290,skvr13010330,skvr13021040,skvr13021050,skvr13021060,skvr13021070,skvr13021080,skvr13021090,skvr13056500,skvr15112400
