t010100_0210	Eeva, vaimo ensimmäinen	skvr12102030
t040401_0120	Emoa älä unohda	skvr01110210,skvr03121400,skvr03125370,skvr03135640,skvr04132290,skvr04145990,skvr04146060,skvr04146220,skvr04146250,skvr04146400,skvr04146830,skvr04147090,skvr04147100,skvr04147170,skvr04147180,skvr04147220,skvr04147460,skvr04147800,skvr04147960,skvr05215970,skvr05309181,skvr05309180
t040401_0130	Emännäksi etsittiin	skvr05309031,skvr05309131,skvr05309130,skvr13042190
t040402_0040	Ei ole isoa iäksi	skvr13109600
t040501_0010	Ei anna anopin lyödä	skvr13041730
t040501_0020	Ei hakkaa halolla, ottaa oljen	skvr13041730
t040501_0030	Ei ole ennen ollut tämän sulhasen somuutta	skvr01116620,skvr01116750,skvr01116820,skvr01116840,skvr01116890,skvr01117010,skvr01117020,skvr01117100,skvr01117190,skvr01117200,skvr01117230,skvr01117240,skvr01117420,skvr01222550
t040501_0040	Ei ole muilla miehillä	skvr07130550
t040501_0050	Ei ole reessä retkallaan	skvr04128250
t040501_0060	Ei ole viinavelkoja kylässä	skvr13039100,skvr13039640
t040501_0070	Ei pöksyistä pöräjä	skvr13041560
t040501_0080	Ei sanottu saavan naista	skvr03100330,skvr03104070,skvr03116530,skvr03117070,skvr03117100,skvr03117160,skvr03117700,skvr03125510,skvr03130340,skvr03130360,skvr03130710,skvr03130820,skvr03130900,skvr03132300,skvr03133110,skvr03134880,skvr03135620,skvr03137480,skvr03142030,skvr03142750,skvr04122660,skvr13040560,skvr13040580,skvr15111640
t040501_0090	Ei vaadi vastaansa kumarrusta	skvr13041560,skvr13041850,skvr13041870
t040501_0100	Ei viivy viinan kanssa	skvr13041530,skvr13041560,skvr13041730,skvr13041840,skvr13041850,skvr13041870,skvr13041880,skvr13041990
t040502_0040	Ei huoli hovissa käydä	skvr04106730,skvr05308851,skvr05308850,skvr13040830,skvr13041390,skvr13041490,skvr13041500,skvr13041550,skvr13045460
t040502_0050	Ei kiirettä kivelle, huolta huhmarelle	skvr03104060,skvr03116670,skvr03117120,skvr03117490,skvr03124410,skvr03125120,skvr03130120,skvr03130410,skvr03131160,skvr03132920,skvr03135620,skvr04122910,skvr05216700,skvr05216730,skvr05216790,skvr05309500,skvr13038480,skvr13041290,skvr13041430,skvr13041470,skvr13041530,skvr13047650,skvr13109480,skvr13109540
t040502_0060	Ei meillä emännät itke, itkee itikka	skvr05216790
t040502_0070	Ei meillä varhain nousta	skvr05216730,skvr05216790,skvr05309150,skvr05309500,skvr05309531,skvr05309530,skvr05309541,skvr05309540,skvr13041280,skvr13042950,skvr13043020
t040502_0080	Ei meitä verosta viedä	skvr04106730,skvr13045460
t040503_0010	Ei istunut ikkunan ääressä	skvr03130860
t040503_0020	Ei kiinnitä vasikoita kiroten, ei tehnyt sijaa tien selälle	skvr03140920
t040503_0030	Ei kysy kynsiä kylältä	skvr03104360,skvr03116580,skvr03122660,skvr03130360,skvr03130650,skvr03140920,skvr04123340,skvr05215190,skvr05215220,skvr05307541,skvr07131380,skvr13042280,skvr13042290
t040503_0040	Ei ole kuussa neuvomista	skvr04101940,skvr13014330,skvr13042200,skvr13046820
t040503_0050	Ei ole kylänkävijä, vaan siveä	skvr13109500
t040503_0060	Ei ole nieklan neuvomista	skvr05307631,skvr05307630,skvr05307640,skvr07130480
t040503_0070	Ei ole ollut jouten paimenessa käydessään	skvr13042330
t040503_0080	Ei ole rujo eikä rampa	skvr05215110
t040503_0090	Ei ole vaatevelkoja kylällä	skvr13039100,skvr13039120
t040503_0100	Ei tuoda Turustakaan morsiamen muodollista	skvr05214410,skvr05214740,skvr05215180,skvr05307610,skvr05307650,skvr05308720,skvr13041880,skvr13042290,skvr13042300,skvr13042410,skvr13042460,skvr13042480,skvr13042510
t040503_0110	Ei vie villoja kylälle	skvr05215210,skvr13042770
t040503_0120	Ei ärjy äidilleen, miehet kiittää metsätiellä	skvr04130500
t040504_0010	Ei pannut pakenijalle	skvr03100250,skvr03104060,skvr03104390,skvr03117120,skvr03117490,skvr03121040,skvr03125490,skvr03130410,skvr03132300,skvr03132920,skvr03135540,skvr03142450,skvr03142750,skvr04145960,skvr04146160,skvr13044070,skvr15111640,skvr15111680
t040504_0020	Ei riko ristiäsi 	skvr05309101,skvr05309100,skvr13041670,skvr13041840,skvr13041970,skvr13041990
t040504_0030	En joutunut kälyn käsiin	skvr13041690
t040504_0040	Et joutunut juomarille	skvr04112490
t040505_0010	Ei hyvä hylyksi jouda	skvr13035700,skvr13039030
t040505_0020	Ei ole peurannahkaa peitteenä	skvr07130480,skvr13046420
t040505_0030	Ei ole miehen mieltä päässä	skvr02105580,skvr04112540,skvr04107110,skvr05308110,skvr05308120,skvr06107820,skvr06107850,skvr06107880,skvr07129331,skvr07129330,skvr13037790,skvr13038310,skvr13038320,skvr13038330,skvr13046720,skvr13046810,skvr13109110
t040505_0040	Ei ole veljestänne haravankaan hankkijaa	skvr13042780
t040505_0050	Ei osaa tupaa tehdä	skvr05213180,skvr05214280,skvr05214310,skvr05307231,skvr05307230,skvr05308830,skvr07130530,skvr13035020,skvr13038550,skvr13038620,skvr13038630,skvr13039240,skvr13042390
t040505_0060	Ennen olisit vuohen nainut	skvr04116690
t040505_0070	En ole nähnyt mokomaa hylkyä	skvr03135570
t040505_0080	En olisi suonut natoani Puol-Pielain pojalle	skvr13038960,skvr13045440
t040506_0020	Ei nuorta saanutkaan	skvr05214860
t040506_0030	Ei suku suvaitse kierosilmä morsianta	skvr13039660
t040506_0040	Et ottanut omenikkoa	skvr05214950,skvr05215000
t040506_0050	Et saanut saattajia	skvr13039730
t040506_0060	Et saanut sitä kalaa, mitä varten oli verkot tehty	skvr05213470,skvr05214350,skvr05214840,skvr05215040,skvr05215090,skvr05307770,skvr13036520,skvr13038340,skvr13039530,skvr13109190,skvr13109820
t040506_0070	Et sulho saraista saanutkaan	skvr05214780,skvr13039320,skvr13039330,skvr13039340,skvr13039350,skvr13039360
t040506_0080	Etsit maalta maan parasta	skvr04107910,skvr04108470
t040506_0090	Etsit neittä neljä vuotta	skvr04116700,skvr04123350,skvr13042620
t040508_0030	Ei ole aittaan asiaa, ei tietä kellariin	skvr04112570,skvr04108870,skvr05216800,skvr05307850,skvr05309560,skvr06107870,skvr07128350,skvr13041510,skvr13046810,skvr13047370
t040508_0040	Ei ole missään mitään	skvr05307850,skvr05307860,skvr13045390,skvr13108730
t040508_0050	Ei ole teidän poikasista vihille vietävää	skvr13042390
t040508_0060	Ei oo teillä niinkuin meillä	skvr13045460
t040508_0070	Ei taaria talossa	skvr04112570
t040509_0010	Ei juo veljemme joka pikaria	skvr03117490,skvr03133680,skvr04122910,skvr04139950
t040509_0020	Ei ole lynkä eikä länkä	skvr03116430,skvr03116470,skvr03116720,skvr04112870,skvr04123140
t040509_0030	Ei ole totta sanoneet	skvr04122910,skvr04122980
t040510_0010	Ei ole hiirtä hempeämpi	skvr04106280,skvr04107010,skvr04116690,skvr04123350,skvr04125010,skvr04136200,skvr04138060
t040510_0020	Ei ole ikinä tuotu mokomaa morsianta	skvr13039590,skvr13039600,skvr13039610
t040510_0030	Ei ole päänalasen pälläreitä	skvr13039810
t040510_0040	Ei ole ruunan syy, että toi torujavaimon	skvr05308711,skvr05308710,skvr05308751,skvr05308750,skvr05308791,skvr05308790,skvr05308881,skvr05308880,skvr13034200,skvr13039860,skvr13040380,skvr13040710,skvr13040720,skvr13040730,skvr13040740,skvr13040750,skvr13040760,skvr13109420
t040510_0050	Ei ole suussa hampaita, ei syö muuta kuin murua	skvr05214830,skvr05214970,skvr13039380
t040510_0060	Ei ole tuossa miehen naista	skvr06107580,skvr13039020,skvr13039300,skvr13039410,skvr13039560
t040510_0070	Ei ole villi viikatteelle	skvr04125850,skvr04141720,skvr13109320
t040510_0080	Ei osaa pirran kaidetta pidellä	skvr04112420,skvr04112540
t040510_0090	Ei pyyhi permantoa	skvr03139330
t040510_0100	Ei taipunut talon tapoihin	skvr13044980
t040510_0110	Ei tässä naista naida	skvr13039520
t040510_0120	Ei tuo ommella osaa	skvr03103760,skvr04112420,skvr04106300,skvr04107910,skvr04116700,skvr04123220,skvr04123280,skvr04125850,skvr04132920,skvr04134800,skvr04141720,skvr05307671,skvr05308851,skvr05308850,skvr06165370,skvr13039310,skvr13039380,skvr13039420,skvr13039530,skvr13039670
t040510_0130	Ei tuotu tuvan pesijä, tuotiin tuhma tulenpuhuja	skvr04123280,skvr06165370,skvr12103830,skvr13039830,skvr13040730,skvr13109220
t040510_0140	Ei yli kynnyksen yletä	skvr13039910,skvr13039960
t040510_0150	Ensin oli ripistä risti, sitten suru sulhasesta	skvr05215010
t040511_0010	Ei ole kutojan/neidon syy	skvr05307671,skvr05307670,skvr05308851,skvr05308850
t040511_0020	Ei ole riihestä revästy	skvr05215450
t040511_0030	Ei ole sitassa silmät	skvr13045960
t040511_0040	Ei ollut äitiä elossa	skvr13038480
t040511_0050	Emon syy, opetti laiskaksi	skvr13046810
t040511_0060	En ole torakan syömä	skvr13042310
t040511_0070	En tullut tuomatta tupaan	skvr07130892,skvr07130920,skvr07131020,skvr07131070
t040512_0010	En moiti morsianta, laulan laatusasti	skvr13035090
t040512_0020	Ensin ivaan itseäni, sitten muita moitin	skvr05209491,skvr05309391,skvr05309390,skvr13043100,skvr13045830,skvr13047350,skvr13049170
t040513_0010	Ei ole teillä niin kuin meillä	skvr13045460,skvr13045850
t040513_0020	Ei pidä Mattia manata	skvr13047570
t040516_0010	Emännän ylistys	skvr01116810,skvr01116840,skvr01116970,skvr06107310,skvr06107590,skvr07127600,skvr07128090,skvr07130850,skvr07131550,skvr07131560,skvr07131570,skvr15101950,skvr15106400
t040602_0010	Ei neittä huralle pantu - kyntäjän kylelle, ruispurnuun%	skvr04112680,skvr04132270,skvr05216240,skvr05216711,skvr05217030,skvr05217040,skvr05217050,skvr05222940,skvr05309701,skvr05309700,skvr05309711,skvr05309710,skvr05309720,skvr07130160,skvr07130340,skvr07130450,skvr07131160,skvr13041690,skvr13047510,skvr13047520,skvr13047540,skvr13047550,skvr13109840,skvr13109850,skvr13109860
t040801_0020	Ei suvaitse Suomen neito venäläistä	skvr13042340
t040801_0030	Ei tuotu neitoa riihelle - kahvinkeittoon	skvr13109920,skvr13109930
t040801_0040	Ei voi lintu poikiaan yhdessä pitää	skvr02105020
t040801_0050	En sureksi sulhastain - sukua	skvr13042000
t040801_0060	Entä jos ei auta anoppia? 	skvr13047430
t050100_0220	Eellimmäinen Ellin kuva	skvr06121540,skvr06121550,skvr06121560,skvr06121570,skvr07144700,skvr13068400,skvr13068480,skvr13122280,skvr13122290
t050100_0230	Eläimet hautaajina	skvr09125860,skvr09131930,skvr09131940,skvr09131950,skvr09131960,skvr09131970,skvr09131980,skvr09131990,skvr09132000,skvr09132010,skvr09132020,skvr09132030,skvr09132040,skvr09132050,skvr09132060,skvr09132070,skvr09132080,skvr09132090,skvr09132100,skvr09132110,skvr09132120,skvr09132130,skvr09132140,skvr09132150,skvr09132160,skvr09132170,skvr09132180,skvr09132190,skvr09132200,skvr09132210,skvr09132220,skvr09132230,skvr09132240,skvr09132250,skvr09132260,skvr09132270,skvr09132280,skvr09132290,skvr09132300,skvr09132310,skvr09132320,skvr09132330,skvr09132340,skvr09132360,skvr09132370,skvr09132380,skvr09132390,skvr09132400,skvr09132410,skvr09132420,skvr09132430,skvr09204240,skvr06122420,skvr06122430,skvr06170381,skvr06170380,skvr07135620,skvr08116920,skvr08117080,skvr08117490,skvr10118870,skvr10118900,skvr10118910,skvr10118950,skvr10106081,skvr10106221,skvr10106220,skvr10106890,skvr11100480,skvr11100540,skvr11100710,skvr12105890,skvr12105900,skvr12105910,skvr12105920,skvr12105930,skvr12105940,skvr12105950,skvr12105960,skvr12107550,skvr12107640,skvr12107650,skvr12107660,skvr12107670,skvr12107680,skvr12107690,skvr12108070,skvr12182260,skvr13012540,skvr13061280,skvr13118090,skvr13118340,skvr14112470,skvr14112810,skvr14112840,skvr14112860,skvr14112870,skvr14112880,skvr14113330,skvr14113340,skvr14113350,skvr14113360,skvr14113370,skvr14113380
t050100_0240	Eläinten häät	skvr01118770,skvr03102770,skvr03126930,skvr04112230,skvr04113990,skvr04101610,skvr04104290,skvr04105110,skvr04108520,skvr04116140,skvr04124160,skvr04125980,skvr04130910,skvr04131880,skvr04134320,skvr04136320,skvr04138500,skvr09125000,skvr09125010,skvr09204200,skvr05111760,skvr05218430,skvr05218540,skvr05218550,skvr05218560,skvr05218570,skvr05218580,skvr05224520,skvr05309940,skvr06117680,skvr06117690,skvr06119750,skvr06123230,skvr08129560,skvr10111100,skvr10111110,skvr10111120,skvr10106600,skvr13052940,skvr13059950,skvr13117210
t050100_0250	Eläinten pidot	skvr01118900,skvr03111110,skvr03104480,skvr04112170,skvr04113190,skvr04113990,skvr04114350,skvr04102090,skvr04105110,skvr04105220,skvr04107130,skvr04108530,skvr04115500,skvr04118510,skvr04119600,skvr04119610,skvr04121580,skvr04124160,skvr04125980,skvr04130910,skvr04133050,skvr04136330,skvr04139690,skvr04140140,skvr04140530,skvr09125020,skvr09128090,skvr09131930,skvr09131950,skvr09131970,skvr09132010,skvr09132030,skvr09132040,skvr09132050,skvr09132060,skvr09132070,skvr09132080,skvr09132090,skvr09132100,skvr09132110,skvr09132150,skvr09132160,skvr09132230,skvr09132260,skvr09132280,skvr09132290,skvr09132330,skvr09132340,skvr09132350,skvr09132360,skvr09132390,skvr09132400,skvr09100470,skvr09107220,skvr09107460,skvr09108160,skvr09108230,skvr09108280,skvr09108330,skvr09108340,skvr09108350,skvr09108360,skvr09108370,skvr09108380,skvr09108420,skvr09108430,skvr09108440,skvr09108480,skvr09108530,skvr09108550,skvr09108560,skvr09108570,skvr09108590,skvr09108600,skvr09108610,skvr09108620,skvr09108630,skvr09108640,skvr09108650,skvr09108660,skvr09108670,skvr09108680,skvr09108700,skvr09108710,skvr09108720,skvr09108780,skvr09108790,skvr09108800,skvr09108810,skvr09108820,skvr09108830,skvr09108840,skvr09108850,skvr09108860,skvr09108870,skvr09108880,skvr09108890,skvr09108920,skvr09109190,skvr09109210,skvr09204240,skvr09200740,skvr09200750,skvr09200760,skvr09200770,skvr09200780,skvr09200790,skvr09200800,skvr09200810,skvr09200820,skvr09200830,skvr09200840,skvr09200850,skvr09200860,skvr05111760,skvr05111810,skvr05113530,skvr05218430,skvr05218560,skvr05218630,skvr05224520,skvr05310090,skvr06116950,skvr06116970,skvr06116980,skvr06117010,skvr06117050,skvr06117120,skvr06117140,skvr06117180,skvr06117240,skvr06117250,skvr06117490,skvr06117500,skvr06117520,skvr06117530,skvr06117540,skvr06117550,skvr06117560,skvr06117580,skvr06117590,skvr06117600,skvr06117610,skvr06117620,skvr06117640,skvr06117660,skvr06117680,skvr06117690,skvr06118160,skvr06118170,skvr06118200,skvr06118240,skvr06118250,skvr06118260,skvr06118280,skvr06118290,skvr06122430,skvr06123360,skvr06165020,skvr06168870,skvr06168880,skvr06168890,skvr06168900,skvr06168910,skvr06168920,skvr07102300,skvr07108320,skvr07108340,skvr07113142,skvr07113140,skvr07136820,skvr07138180,skvr07138410,skvr07138611,skvr07138610,skvr07138750,skvr07138990,skvr07139060,skvr07139070,skvr07139190,skvr07139341,skvr07139340,skvr08115430,skvr08115510,skvr08116270,skvr08116400,skvr08116420,skvr08116480,skvr08116510,skvr08116620,skvr08116630,skvr08116690,skvr08116730,skvr08116920,skvr08116940,skvr08116980,skvr08116990,skvr08117010,skvr08117220,skvr08117240,skvr08117250,skvr08117260,skvr08117270,skvr08117280,skvr08117480,skvr08117490,skvr08131040,skvr08131050,skvr08131060,skvr08147250,skvr10111210,skvr10118910,skvr10105410,skvr10105420,skvr10105430,skvr10105440,skvr10105450,skvr10105460,skvr10105470,skvr10105480,skvr10105500,skvr10105530,skvr10105560,skvr10105580,skvr10105600,skvr10105630,skvr10105690,skvr10105710,skvr10105730,skvr10105740,skvr10105750,skvr10105760,skvr10105780,skvr10105800,skvr10105810,skvr10105820,skvr10105830,skvr10105841,skvr10105840,skvr10105850,skvr10105870,skvr10105880,skvr10105900,skvr10105910,skvr10105920,skvr10105930,skvr10105940,skvr10105950,skvr10105960,skvr10105970,skvr10105980,skvr10105990,skvr10106000,skvr10106030,skvr10106040,skvr10106070,skvr10106081,skvr10106082,skvr10106080,skvr10106090,skvr10106100,skvr10106130,skvr10106150,skvr10106170,skvr10106180,skvr10106190,skvr10106200,skvr10106210,skvr10106221,skvr10106220,skvr10106230,skvr10106240,skvr10106250,skvr10106290,skvr10108060,skvr10108070,skvr10109100,skvr10109930,skvr11125150,skvr11125160,skvr11125190,skvr11125210,skvr11125930,skvr11126270,skvr11126280,skvr11126300,skvr11103290,skvr11103300,skvr11103310,skvr11103320,skvr11103330,skvr11103340,skvr11103350,skvr11103360,skvr11103820,skvr11103830,skvr11100480,skvr11100490,skvr11100500,skvr11100510,skvr11100540,skvr11100570,skvr11100610,skvr11100650,skvr11100660,skvr11100710,skvr12110510,skvr12110570,skvr12116150,skvr12117130,skvr12117160,skvr12117240,skvr12117281,skvr12117380,skvr12117400,skvr12117510,skvr12102360,skvr12102400,skvr12102410,skvr12102430,skvr12102440,skvr12102470,skvr12102480,skvr12102490,skvr12102510,skvr12102520,skvr12102530,skvr12102540,skvr12102550,skvr12102560,skvr12102570,skvr12135000,skvr12104500,skvr12104880,skvr12104890,skvr12108060,skvr12108210,skvr13011600,skvr13012460,skvr13012470,skvr13012480,skvr13012490,skvr13012500,skvr13012510,skvr13012520,skvr13012530,skvr13012540,skvr13012550,skvr13052940,skvr13059950,skvr13059960,skvr13059970,skvr13059980,skvr13059990,skvr13060870,skvr13061910,skvr13062990,skvr13063080,skvr13063130,skvr13063920,skvr13063940,skvr13066410,skvr13071300,skvr13079120,skvr13079130,skvr13104740,skvr13112070,skvr13113760,skvr13116720,skvr13117210,skvr13117220,skvr13117230,skvr13117890,skvr13117900,skvr13117910,skvr13118090,skvr13118340,skvr13118790,skvr13118820,skvr13119270,skvr13121170,skvr14110210,skvr14110220,skvr14110270,skvr14110340,skvr14110600,skvr14112030,skvr14112040,skvr14112050,skvr14112060,skvr14112070,skvr14112080,skvr14112090,skvr14112290,skvr14112440,skvr14112470,skvr14112880,skvr14106040,skvr14100780,skvr14109480,skvr15111800
t050100_0260	Enkeli kenkeli navetassa lenteli	skvr10119902,skvr12124390,skvr12124400,skvr12182770
t050100_0270	Enkeli - keitteli puuroa	skvr12133780,skvr12133790
t050100_0280	Ennen oli ämmällä harmaa pukki	skvr05219430
t050100_0290	Etana hyppäsi Eevan taskuun	skvr14116520,skvr14116530,skvr14116540,skvr14116550
t050300_0240	Eenikki	skvr13068830
t050300_0250	Eenokki	skvr12133740
t050300_0260	Eerikki (Eerikka)	skvr09204050,skvr13067230,skvr13068840
t050300_0270	Eero	skvr08142050,skvr08142060,skvr08151280,skvr10117840,skvr13068850,skvr14118930
t050300_0280	Eeva	skvr06126080,skvr08142070,skvr08142080,skvr12133750,skvr12133760,skvr12133770,skvr12133790
t050300_0290	Efraimi	skvr10118200
t050300_0300	Eino	skvr14118940
t050300_0310	Elias (Eljas)	skvr06126090,skvr14118950
t050300_0320	Elkku	skvr06126100
t050300_0330	Elli	skvr09130090,skvr09130100,skvr09130110,skvr09130120,skvr09204060,skvr09204070,skvr09204080,skvr06126120,skvr06126130,skvr06126140,skvr06126150,skvr06126160,skvr06126170,skvr06126180,skvr06126190,skvr06171100,skvr06171110,skvr06171120,skvr06171130,skvr06171140,skvr06171150,skvr06171160,skvr06171170,skvr06171181,skvr06171180,skvr07143360,skvr07143370,skvr07143380,skvr07143390,skvr07143400,skvr07143410,skvr07143420,skvr07143430,skvr07143440,skvr07143450,skvr10115400,skvr10117780,skvr10117810,skvr10118880,skvr11126650,skvr11104450,skvr11104460,skvr12115560,skvr12115570,skvr12115580,skvr12115590,skvr12115600,skvr12115610,skvr12115620,skvr12115630,skvr12115640,skvr12115650,skvr12115660,skvr12115670,skvr12115680,skvr12115690,skvr12115700,skvr12115720,skvr12115730,skvr12115750,skvr12115760,skvr12115770,skvr12115780,skvr12133800,skvr12133810,skvr12182600,skvr12184130,skvr13068870,skvr13068880,skvr13068890,skvr13068900,skvr13068910,skvr13068920,skvr13068930,skvr13068940,skvr13068950,skvr13068960,skvr13068970,skvr13068980,skvr13068990,skvr13069000,skvr13069010,skvr13069020,skvr13069030,skvr13069040,skvr13069050,skvr13069060,skvr13069070,skvr13069080,skvr13069090,skvr13069100,skvr13122520,skvr13122530,skvr13122540,skvr13122550,skvr13122560,skvr13122570,skvr13122580,skvr13122590,skvr13122600,skvr13122610,skvr13122620,skvr13122630,skvr13122640,skvr13122650,skvr13122660,skvr13122670,skvr14118960,skvr14118970,skvr14118980,skvr14118990,skvr14119000,skvr14119010,skvr14119020,skvr14119030,skvr14119040,skvr14119050,skvr14119060,skvr14119070
t050300_0340	Ellu	skvr13069110
t050300_0350	Emppu	skvr08142090,skvr10117820
t050300_0360	Enkku	skvr12124410
t050300_0380	Erkki	skvr08151290,skvr10117830,skvr11104470,skvr11104480,skvr11104490,skvr12133820,skvr12133830,skvr12133840,skvr12133850,skvr12133860,skvr12133870,skvr13069120
t050300_0390	Esa	skvr10117840
t050300_0400	Esko	skvr11103890,skvr13069130
t050400_0300	Eenikki peenikki	skvr07140840,skvr13068830
t050400_0310	Ellen sellen	skvr07140850,skvr12120750
t050400_0320	Elli - kaatoi vellin kalliolle	skvr06126110,skvr12115740
t050400_0330	Elli melli meteli	skvr09130080
t050400_0340	Elpin pelpin kakkarasta - ojalle onkimaan	skvr09129620
t050400_0350	Emäntä katkaisi viisaalta vasikalta hännän	skvr06123940
t050400_0360	Enkeli kenkeli	skvr12133780
t050400_0370	Enkeli kiikkuu keskellä peltoo	skvr06125570
t050400_0380	Ensikki mansikki topper lopper	skvr07140860,skvr07140910
t050400_0390	Ensimmäinen enkeli - kymmenes kyyhkynen	skvr06119980,skvr13122340
t050400_0400	Ent tvoon tvyyrä tväm	skvr01119690
t050400_0410	Entee rentee rihmaa reks	skvr12124420
t050400_0430	Entten tentten - sukkula, pukkula	skvr07141000,skvr11104270,skvr12124430,skvr12124440,skvr12124450,skvr12124460,skvr12124470,skvr12124480,skvr12124490,skvr12124500,skvr12124510,skvr12124520,skvr12124530,skvr12124540,skvr12124550,skvr12124560,skvr12124570,skvr12124580,skvr13076210
t050400_0440	Entten tentten teelen teeren	skvr12124590
t050400_0450	Entten tentten teelikamentten	skvr07140880,skvr07140890,skvr07140970
t050400_0460	Entten tentten - vanger vii	skvr07140940,skvr07140950,skvr07140960,skvr07140980,skvr07140990,skvr07141000,skvr07141010,skvr07141020,skvr07142180
t050400_0470	Entter tentter teima reks	skvr07140900
t050400_0480	Enttiki, tenttiki	skvr12183140
t050400_0500	Eppel, peppel, piirum, paarum	skvr07141030,skvr07141040,skvr07141050,skvr07141060,skvr07141070,skvr07141080,skvr07141090,skvr07141100,skvr07141110,skvr07141120
t050400_0510	Etikalla, metikalla	skvr12124600
t050400_0520	Ettemme, kattemme - sinipäätä, punapäätä	skvr12124610
t050400_0530	Eukka, teukka, teukanleukka	skvr12124620,skvr12124630
t050500_0040	Engermanni rotilaa 	skvr04138530
t060100_0030	Erilaisia tietäjän sanoja	skvr01204701,skvr03143590,skvr05224530,skvr06130310,skvr07216440,skvr07216730,skvr12184230,skvr12184240
t060200_0020	Erilaisia pyyntöjä haltioille	skvr06130770,skvr06130780,skvr07227820,skvr10151470,skvr12137220,skvr12137230,skvr14120910,skvr14120920
t060500_0110	Eltta	skvr09403490,skvr11106850,skvr11106860,skvr12155080,skvr12155090
t060600_0010	Erilaisia parannusaihelmia	skvr01206180,skvr02107790,skvr04142050,skvr09402800,skvr09402810,skvr06130730,skvr06140610,skvr06140790,skvr06140800,skvr06173640,skvr07216440,skvr07216850,skvr07217020,skvr07217070,skvr07217080,skvr10130740,skvr10130750,skvr10130760,skvr11111970,skvr11111980,skvr11105290,skvr11105950,skvr11105970,skvr11105980,skvr12154000,skvr12154240,skvr13084280
t060600_0020	Erilaisia parannusloitsuja	skvr01223800,skvr01224070,skvr01224090,skvr01204690,skvr01204702,skvr01204930,skvr01204950,skvr01204960,skvr01204970,skvr01204990,skvr01205020,skvr01205040,skvr01205050,skvr01205060,skvr01205070,skvr01205080,skvr01205090,skvr01205100,skvr01205130,skvr01205140,skvr01205170,skvr01205180,skvr01205200,skvr01205260,skvr01205290,skvr01205350,skvr01205370,skvr01205390,skvr02107760,skvr02107770,skvr02107780,skvr02107790,skvr02107850,skvr03143000,skvr03143040,skvr03143050,skvr04142260,skvr04142300,skvr04142330,skvr04142340,skvr04142370,skvr09302410,skvr09400140,skvr09400180,skvr09402680,skvr09402690,skvr09402790,skvr05224560,skvr05224810,skvr05224850,skvr06129740,skvr06129750,skvr06129760,skvr06129770,skvr06129790,skvr06130670,skvr06140270,skvr06140280,skvr06140290,skvr06140300,skvr06140310,skvr06140330,skvr06140380,skvr06140420,skvr06140470,skvr06140760,skvr06140870,skvr06140880,skvr07200300,skvr07200370,skvr07200390,skvr07215510,skvr07215600,skvr07215610,skvr07215620,skvr07215630,skvr07215670,skvr07215690,skvr07215700,skvr07215750,skvr07215810,skvr07215860,skvr07215870,skvr07215900,skvr07215940,skvr07215950,skvr07215960,skvr07215970,skvr07216040,skvr07216140,skvr07216150,skvr07216170,skvr07216180,skvr07216210,skvr07216290,skvr07216300,skvr07216320,skvr07216340,skvr07216350,skvr07216360,skvr07216370,skvr07216390,skvr07216410,skvr07216420,skvr07216460,skvr07216480,skvr07216520,skvr07216560,skvr07216600,skvr07216620,skvr07216630,skvr07216640,skvr07216650,skvr07216700,skvr07216790,skvr07216970,skvr07217130,skvr07217140,skvr07217240,skvr07217270,skvr07217290,skvr07220260,skvr07220280,skvr07220300,skvr07220310,skvr07220340,skvr07220370,skvr07220440,skvr07220960,skvr07221000,skvr10130630,skvr10130640,skvr10130720,skvr11106030,skvr12135360,skvr12152340,skvr12152440,skvr12152460,skvr12152470,skvr12152480,skvr12152490,skvr12152540,skvr12152550,skvr12152570,skvr12152580,skvr12152630,skvr12152770,skvr12152830,skvr12154170,skvr12186220,skvr13084260,skvr13084310,skvr13084900,skvr13095030
t060800_0010	Ennuskala	skvr12166460
t060900_0010	Etanaa vastaan	skvr07244930,skvr07244940,skvr07244970,skvr13099120,skvr13099130,skvr13099150,skvr13099160,skvr13131650,skvr13131660
