t070100_3540	Urpa linnun viivyttää	skvr15105870
t070100_3550	Usein oma emoni nännin suuhun survoa, ei taia tajua panna	skvr13058990,skvr15105880
t070300_1450	Uggla	skvr14120260
t070300_1460	Ukko-Jussi	skvr06126520
t070300_1470	Uusikylä-Kankoinen	skvr13126870
t070400_0920	Ukko uljas	skvr13122020
t070400_0930	Ukko uunilta alas	skvr06127840,skvr07146150,skvr13108000
t070400_0940	Uli uli, ukkoni kuoli	skvr13126660
t080100_2080	Ukko kuoli, akka jäi	skvr04147031
t080100_2090	Ukko uupui, vanha vaipui	skvr01121030,skvr01223631,skvr01223630,skvr05310270,skvr06104850,skvr06104860,skvr07117041,skvr07117042,skvr07117040,skvr07146160
t080100_2100	Uksi, ikkuna - ei löydy kumpaakaan	skvr13084080
t080100_2110	Unessa näki kankaalla kaloja	skvr03136590
t080100_2120	Unissa ukko	skvr13122040
